version;filename;loc;loc_touched;NR;NFix;NAuth;LOC_added;MAX_LOC_added;AVG_LOC_added
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/SequenceMapping.java;149;149;1;_;0;149;149;149
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Strategy.java;131;131;1;_;0;131;131;131
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/StrategyInstaller.java;67;67;1;_;0;67;67;67
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueHandler.java;99;99;1;_;0;99;99;99
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMapping.java;265;265;1;_;0;265;265;265
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java;534;534;1;_;0;534;534;534
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingInfo.java;318;318;1;_;0;318;318;318
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Version.java;365;365;1;_;0;365;365;365
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/VersionMappingInfo.java;86;86;1;_;0;86;86;86
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/VersionStrategy.java;74;74;1;_;0;74;74;74
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractClassStrategy.java;79;79;1;_;0;79;79;79
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractDiscriminatorStrategy.java;89;89;1;_;0;89;89;89
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractFieldStrategy.java;173;173;1;_;0;173;173;173
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractStrategy.java;78;78;1;_;0;78;78;78
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractValueHandler.java;58;58;1;_;0;58;58;58
